uri,title,author,translator,editor,contributor,illustrator,introduction,preface,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts
malory-morte-darthur,Le Morte d'Arthur,"Malory, Thomas",,,,,,,,1485.0,Book,False,,,,7,7,0,1937;1930;1939;1932;1938,2020-06-29T03:50:09+00:00,malory-morte-darthur,overborrows,2
more-utopia,Utopia,"More, Thomas",,,,,,,,1516.0,Book,False,,,,2,2,0,1930;1950;1951,2020-04-30T19:40:14+00:00,more-utopia,"overborrows,post1942_events","1,1"
norton-gorboduc,Gorboduc,"Norton, Thomas",,,,,,,,1561.0,Book,False,,,,1,1,0,1950,2020-06-29T03:49:47+00:00,norton-gorboduc,"post1942_events,unknown_borrows","1,1"
lyly-euphues-anatomy-wit,Euphues: The Anatomy of Wit,"Lyly, John",,,,,,,,1578.0,Book,False,,,,1,1,0,1941,2020-04-30T19:40:21+00:00,lyly-euphues-anatomy-wit,overborrows,1
spenser-shepheards-calendar,The Shepheard's Calendar,"Spenser, Edmund",,,,,,,,1579.0,Book,False,,,,1,1,0,1941,2020-06-29T03:45:41+00:00,spenser-shepheards-calendar,,0
greene-defence-conny-catching,The Defence of Conny-Catching,"Greene, Robert",,,,,,,,1592.0,Book,False,,,,2,2,0,1939;1940,2020-04-30T19:40:17+00:00,greene-defence-conny-catching,overborrows,2
shakespeare-midsummers-nights-dream,A Midsummer's Night's Dream,"Shakespeare, William",,,,,,,,1595.0,Book,False,,,,1,1,0,1940,2020-05-12T02:52:46+00:00,shakespeare-midsummers-nights-dream,,0
sidney-apology-poetry,An Apology for Poetry,"Sidney, Philip",,,,,,,,1595.0,Book,False,,,,4,4,0,1934,2020-04-30T19:40:14+00:00,sidney-apology-poetry,unknown_borrows,2
shakespeare-loves-labours-lost,Love's Labour's Lost,"Shakespeare, William",,,,,,,,1598.0,Book,False,,,,1,1,0,1922,2020-06-15T02:44:27+00:00,shakespeare-loves-labours-lost,,0
bacon-advancement-learning,The Advancement of Learning,"Bacon, Francis",,,,,,,,1605.0,Book,False,https://archive.org/details/in.ernet.dli.2015.272672,,,1,1,0,1937,2021-01-17T22:37:22+00:00,bacon-advancement-learning,,0
webster-white-devil,The White Devil,"Webster, John",,,,,,,,1612.0,Book,False,,,,1,1,0,,2020-04-30T19:40:16+00:00,webster-white-devil,,0
cervantes-don-quixote,Don Quixote,"Cervantes, Miguel de",,,,,,,,1615.0,Book,False,,,,1,1,0,1929,2020-06-15T01:58:49+00:00,cervantes-don-quixote,overborrows,1
burton-anatomy-melancholy,The Anatomy of Melancholy,"Burton, Robert",,,,,,,,1621.0,Book,False,,,,1,0,0,1934,2020-04-30T19:40:17+00:00,burton-anatomy-melancholy,,0
descartes-geometrie,La géométrie,"Descartes, René",,,,,,,,1637.0,Book,False,,,,1,1,0,1928,2020-07-19T20:15:00+00:00,descartes-geometrie,sunday_shopers,1
browne-religio-medici,Religio Medici,"Browne, Thomas",,,,,,,,1643.0,Book,False,https://archive.org/details/religiomedicioth00browiala/page/n10/mode/2up,1906 The Religio Medici &amp; Other Writings of Sir Thomas Browne;1922,"At least two editions of Religio Medici circulated in the lending library. Marie Boscq borrowed The Religio Medici and Other Writings of Sir Thomas Browne (Everyman's Library, 1906). Irene Wissotzky borrowed Religio Medici, edited by W. Murison (Pitt Press Series, Cambridge University Press, 1922).",5,5,0,1937;1939;1940;1941,2020-05-22T03:03:50+00:00,browne-religio-medici,overborrows,1
browne-vulgar-errors-pseudodoxia,Vulgar Errors (Pseudodoxia Epidemica),"Browne, Thomas",,,,,,,,1646.0,Book,False,https://archive.org/details/b22650337_0002,,,2,2,0,1939,2020-07-22T14:20:55+00:00,browne-vulgar-errors-pseudodoxia,"overborrows,sunday_shopers","1,1"
hobbes-leviathan,Leviathan,"Hobbes, Thomas",,,,,,,,1651.0,Book,False,,,,2,2,0,1938,2020-04-30T19:40:14+00:00,hobbes-leviathan,unknown_borrows,1
greville-sir-fulke-grevilles,Sir Fulke Greville's Life of Sir Philip Sidney,"Greville, Fulke",,,,,,,,1652.0,Book,False,,,,1,1,0,1937,2020-04-30T19:40:18+00:00,greville-sir-fulke-grevilles,overborrows,1
milton-paradise-lost,Paradise Lost,"Milton, John",,,,,,,,1667.0,Book,False,https://archive.org/details/paradiselostmilt00miltuoft/page/n8/mode/2up,,,6,6,0,1936;1939;1940,2020-05-13T17:04:32+00:00,milton-paradise-lost,"overborrows,unknown_borrows","1,1"
julian-revelations-divine-love,Revelations of Divine Love,"Julian, of Norwich",,,,,,,,1670.0,Book,False,,,,1,1,0,1938,2020-06-29T03:50:37+00:00,julian-revelations-divine-love,unknown_borrows,1
bunyan-pilgrims-progress,The Pilgrim's Progress,"Bunyan, John",,,,,,,,1678.0,Book,False,,,,3,3,0,1936;1938;1939,2020-07-15T19:39:37+00:00,bunyan-pilgrims-progress,overborrows,1
butler-hudibras,Hudibras,"Butler, Samuel",,,,,,,,1684.0,Book,False,,2 vols.,,1,1,0,1938,2020-07-13T20:36:01+00:00,butler-hudibras,unknown_borrows,1
swift-tale-tub,A Tale of a Tub,"Swift, Jonathan",,,,,,,,1704.0,Book,False,https://archive.org/details/in.ernet.dli.2015.40202/page/n7/mode/2up,,,6,5,1,1938;1939;1924;1941;1934,2020-05-16T17:39:20+00:00,swift-tale-tub,"overborrows,sunday_shopers","1,1"
pope-essay-criticism,An Essay on Criticism,"Pope, Alexander",,,,,,,,1711.0,Book,False,,,,2,2,0,1928;1936,2020-05-06T19:59:25+00:00,pope-essay-criticism,overborrows,1
pope-rape-lock,The Rape of the Lock,"Pope, Alexander",,,,,,,,1712.0,Book,False,,,,2,2,0,1920;1936,2020-04-30T19:40:18+00:00,pope-rape-lock,sunday_shopers,1
defoe-robinson-crusoe,Robinson Crusoe,"Defoe, Daniel",,,,,,,,1719.0,Book,False,https://archive.org/details/lifestrangeadven01defo/page/n9/mode/2up,,,3,3,0,1928;1938;1941,2020-06-02T14:53:01+00:00,defoe-robinson-crusoe,overborrows,2
defoe-journal-plague-year,A Journal of the Plague Year,"Defoe, Daniel",,,,,,,,1722.0,Book,False,https://archive.org/details/journalofplagu00defo/page/n5/mode/2up,,,2,2,0,1939;1941,2020-06-02T14:12:59+00:00,defoe-journal-plague-year,overborrows,2
defoe-moll-flanders,Moll Flanders,"Defoe, Daniel",,,,,,,,1722.0,Book,False,https://archive.org/details/fortunesmisfortu0007defo/page/n11/mode/2up,,,15,14,1,1926;1927;1930;1934;1935;1936;1938;1939;1940;1942,2020-06-02T14:27:02+00:00,defoe-moll-flanders,"overborrows,post1942_events,unknown_borrows","2,1,2"
defoe-moll-flanders-roxana,Moll Flanders and Roxana,"Defoe, Daniel",,,,,,,,1724.0,Book,False,,,,2,2,0,1929;1924,2020-06-28T02:30:31+00:00,defoe-moll-flanders-roxana,,0
swift-gullivers-travels,Gulliver's Travels,"Swift, Jonathan",,,,,,,,1726.0,Book,False,https://archive.org/details/gulliverstravels00swif/page/n7/mode/2up,,,6,4,1,1929;1938;1939;1926;1961,2020-05-16T17:35:43+00:00,swift-gullivers-travels,"overborrows,post1942_events","1,1"
defoe-tour-england-wales,A Tour through England and Wales,"Defoe, Daniel",,,,,,,,1727.0,Book,False,,,,1,1,0,1938,2020-07-07T00:19:30+00:00,defoe-tour-england-wales,overborrows,1
gay-beggars-opera,The Beggar's Opera,"Gay, John",,,,,,,,1728.0,Book,False,,,,2,2,0,1924;1934,2020-04-30T19:40:17+00:00,gay-beggars-opera,unknown_borrows,1
richardson-pamela,Pamela,"Richardson, Samuel",,,,,,,,1740.0,Book,False,https://archive.org/details/pamel00rich/page/n5/mode/2up,2 vols.,,6,5,0,1937;1938;1939;1941,2020-07-13T12:49:38+00:00,richardson-pamela,overborrows,1
richardson-familiar-letters-important,Familiar Letters on Important Occasions,"Richardson, Samuel",,,,,,,,1741.0,Book,False,,,,2,1,0,1929,2020-04-30T19:40:19+00:00,richardson-familiar-letters-important,,0
fielding-joseph-andrews,Joseph Andrews,"Fielding, Henry",,,,,,,,1742.0,Book,False,https://archive.org/details/historyofadventu00fiel_4/page/n19/mode/2up,,,5,5,0,1929;1931;1939;1941,2020-06-02T03:11:27+00:00,fielding-joseph-andrews,overborrows,1
fielding-jonathan-wild-journal,Jonathan Wild and the Journal of a Voyage to Lisbon,"Fielding, Henry",,,,,,,,1743.0,Book,False,https://archive.org/details/henryfielding10fiel/page/n7/mode/2up,,,1,1,0,1941,2020-07-14T13:44:38+00:00,fielding-jonathan-wild-journal,overborrows,1
richardson-clarissa-history-young,Clarissa: Or the History of a Young Lady,"Richardson, Samuel",,,,,,,,1748.0,Book,False,https://archive.org/details/bub_gb_8fFD5tNdvn4C/page/n6/mode/2up,Vol. 1;Vol. 2,,6,6,0,1937;1938;1939;1925,2020-06-26T21:42:27+00:00,richardson-clarissa-history-young,overborrows,5
smollett-adventures-roderick-random,The Adventures of Roderick Random,"Smollett, Tobias",,,,,,,,1748.0,Book,False,https://archive.org/details/worksoftobiassmo00v1smol/page/n13/mode/2up,,,4,3,0,1938;1923;1924;1925,2020-06-02T15:18:09+00:00,smollett-adventures-roderick-random,,0
nugent-grand-tour,The Grand Tour,"Nugent, Thomas",,,,,,,,1749.0,Book,False,,,,2,2,0,1923,2020-04-30T19:40:18+00:00,nugent-grand-tour,,0
fielding-history-tom-jones,"The History of Tom Jones, a Foundling","Fielding, Henry",,,,,,,,1749.0,Book,False,https://archive.org/details/henryfielding03fiel/page/n7/mode/2up,2 vols.;Vol. 1;Vol. 2,,15,14,0,1922;1923;1925;1929;1933;1935;1936;1937;1938;1939;1941,2020-07-12T20:56:48+00:00,fielding-history-tom-jones,overborrows,6
fielding-amelia,Amelia,"Fielding, Henry",,,,,,,,1751.0,Book,False,https://archive.org/details/henryfielding07fiel/page/n7/mode/2up,,,1,1,0,1941,2020-06-02T02:58:10+00:00,fielding-amelia,,0
