item_id,genre
crofts-12-30-croydon,Detective and mystery fiction
crofts-12-30-croydon,Fiction
crofts-12-30-croydon,Mystery fiction
brooke-1914-poems,Fiction
dos-passos-1919,Fiction
dos-passos-1919,History
pound-abc-reading,"Criticism, interpretation, etc."
walpole-dark-circus,Action and adventure fiction
walpole-dark-circus,Fiction
faulkner-absalom-absalom,Fiction
matthiessen-achievement-s-eliot,Poetry
masters-across-spoon-river,Autobiographies
masters-across-spoon-river,Biography
jesse-act-god,Fiction
oriordan-adam-caroline,Fiction
hall-adams-breed,Fiction
addison,Biography
galsworthy-addresses-america-1919,Fiction
odonnell-adrigoole,Fiction
odonnell-adrigoole,Irish fiction
bacon-advancement-learning,Early works
gibbs-adventures-journalism,Biography
atherton-adventures-novelist,Biography
atherton-adventures-novelist,Records and correspondence
jenkins-adventures-bindle,Fiction
smollett-adventures-ferdinand-count,Scottish fiction
twain-adventures-huckleberry-finn,Fiction
smollett-adventures-peregrine-pickle,Fiction
doyle-adventures-sherlock-holmes,English fiction
doyle-adventures-sherlock-holmes,Fiction
twain-adventures-tom-sawyer,Fiction
mckenna-affair-honour-novel,Fiction
eliot-strange-gods,"Criticism, interpretation, etc."
parker-pleasures,Fiction
parker-pleasures,Short stories
warner-death-don-juan,"Fantasy fiction, Spanish"
warner-death-don-juan,Fiction
warner-death-don-juan,"Historical fiction, Spanish"
warner-death-don-juan,History
bronte-agnes-grey,Classic fiction
bronte-agnes-grey,Fiction
bronte-agnes-grey,Romance
maugham-ah-king,Fiction
pasley-al-capone-biography,Biography
barker-alanna-autumnal,Fiction
presland-albatross,Fiction
henderson-aldous-huxley,Biography
henderson-aldous-huxley,"Criticism, interpretation, etc."
gordon-aleck-maury-sportsman,Domestic fiction. ¿
gordon-aleck-maury-sportsman,Fiction
gordon-aleck-maury-sportsman,Sports stories
irving-alhambra,Fiction
irving-alhambra,History
irving-alhambra,Publishers' advertisements
tarkington-alice-adams,Fiction
tarkington-alice-adams,Powieść amerykańska
james-alice-james-brothers,Manuscripts in books
parrish-kneeling,Fiction
tomlinson-yesterdays,Fiction
sackville-west-passion-spent,Fiction
kipling-mowgli-stories,Fiction
field-heaven,Fiction
meredith-amazing-marriage,Fiction
meredith-amazing-marriage,Novels
paul-amazon,Fiction
james-ambassadors,Electronic books
fielding-amelia,Fiction
ferber-american-beauty,Fiction
noguchi-american-diary-japanese,Biography
mencken-american-mercury,Government publication
michaud-american-novel-day,"Criticism, interpretation, etc."
sinclair-american-outpost-book,Biography
dreiser-american-tragedy,Fiction
bowra-ancient-greek-literature,"Criticism, interpretation, etc."
maxwell-mr-wyke-bond,Fiction
sholokhov-quiet-flows-don,Fiction
sholokhov-quiet-flows-don,History
sholokhov-quiet-flows-don,War stories
shaw-androcles-lion,Drama
shaw-androcles-lion,Toneelstukken (teksten)
piozzi-anecdotes-samuel-johnson,Biography
priestley-angel-pavement,Fiction
wells-ann-veronica,Fiction
lewis-ann-vickers,Fiction
auden-another-time-poems,Gedichten (teksten)
hoult-apartments-let,Fiction
moore-aphrodite-aulis,Romans (teksten)
lawrence-apocalypse,"Criticism, interpretation, etc."
lawrence-apocalypse,Limitation statements (Publishing)
sidney-apology-poetry,Early works
manhood-apples-night,Fiction
ohara-appointment-samarra,Fiction
hogarth-arabia,History
synge-aran-islands,Biography
nichols-home-series-bouquets,Biography
butts-armed-madness,Dystopian fiction
butts-armed-madness,Fiction
butts-armed-madness,Science fiction
follett-arnold-bennett,Biography
follett-arnold-bennett,Printed books
morley-arrow,Fiction
read-art-now-introduction,History
james-art-novel-critical,"Criticism, interpretation, etc."
starkie-arthur-rimbaud,Biography
layamon-arthurian-chronicles,Arthurian romances
grigson-arts-day,Art
faulkner-lay-dying,Fiction
fedden-unicorn,Fiction
auden-ascent-f6,Drama
auden-ascent-f6,Fiction
auden-ascent-f6,Plays
auden-ascent-f6,Tragedies
butts-ashe-rings,Fiction
maugham-ashenden-british-agent,Fiction
trites-ask-young,Fiction
sitwell-aspects-modern-poetry,"Criticism, interpretation, etc."
forster-aspects-novel,"Criticism, interpretation, etc."
lawrence-assorted-articles,Essays
stern-augs-exaggeration,Fiction
whitman-autobiographia,Biography
trollope-autobiography,Biography
powys-autobiography,Biography
davies-autobiography-super-tramp,Biography
johnson-autobiography-ex-colored,Fiction
chesterton-autobiography-g-k,Autobiography
chesterton-autobiography-g-k,Biography
moore-avowals,"Criticism, interpretation, etc."
james-awkward-age,Fiction
lewis-babbitt,Fiction
langdon-babylonian-epic-creation,Epen (teksten)
langdon-babylonian-epic-creation,Vertalingen (vorm)
wharton-backward-glance,Autobiographies
wharton-backward-glance,Biography
wharton-backward-glance,Visiting cards
delmar-bad-girl,Fiction
evening-sun,Newspapers
gozlan-balzac-slippers,Biography
gozlan-balzac-slippers,Fiction
taylor-banbury-bog,Fiction
mckay-banjo-story-without,Fiction
trollope-barchester-towers,Fiction
sabatini-bardelys-magnificent,Fiction
dickens-barnaby-rudge,Fiction
rinehart-bat-novel-play,Detective and mystery fiction
rinehart-bat-novel-play,Fiction
rinehart-bat-novel-play,Mystery fiction
smith-beadle,English fiction
smith-beadle,Fiction
garnett-beany-eye,Fiction
gay-beggars-opera,Rare books
benet-beginning-wisdom,Fiction
renwick-beginnings-english-literature,"Criticism, interpretation, etc."
langdon-davies-behind-spanish-barricades,History
atherton-bell-fog,American fiction
