month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1919-11-01,23,8,11,1.375,65.53305246772582
1919-12-01,53,15,33,2.2,151.01094699084646
1920-01-01,72,13,27,2.076923076923077,205.14694685548955
1920-02-01,83,12,15,1.25,236.48884151396712
1920-03-01,87,14,22,1.5714285714285714,247.8858941170499
1920-04-01,88,15,33,2.2,250.73515726782057
1920-05-01,93,19,24,1.263157894736842,264.981473021674
1920-06-01,96,17,21,1.2352941176470589,273.5292624739861
1920-07-01,97,18,25,1.3888888888888888,276.3785256247568
1920-08-01,67,12,0,0.0,190.9006311016361
1920-09-01,58,12,9,0.75,165.25726274469991
1920-10-01,77,16,25,1.5625,219.393262609343
1920-11-01,100,20,55,2.75,284.9263150770688
1920-12-01,119,21,41,1.9523809523809523,339.0623149417119
1921-01-01,116,18,31,1.7222222222222223,330.51452548939983
1921-02-01,119,21,35,1.6666666666666667,339.0623149417119
1921-03-01,135,22,29,1.3181818181818181,384.6505253540429
1921-04-01,141,19,34,1.7894736842105263,401.74610425866706
1921-05-01,138,20,30,1.5,393.198314806355
1921-06-01,136,21,36,1.7142857142857142,387.49978850481364
1921-07-01,126,23,25,1.0869565217391304,359.00715699710673
1921-08-01,114,18,31,1.7222222222222223,324.81599918785844
1921-09-01,123,17,24,1.411764705882353,350.45936754479465
1921-10-01,148,19,26,1.368421052631579,421.6909463140619
1921-11-01,156,20,32,1.6,444.48505152022733
1921-12-01,174,24,53,2.2083333333333335,495.7717882340998
1922-01-01,186,27,68,2.5185185185185186,529.962946043348
1922-02-01,190,30,47,1.5666666666666667,541.3599986464308
1922-03-01,176,29,22,0.7586206896551724,501.47031453564114
1922-04-01,173,22,28,1.2727272727272727,492.92252508332905
1922-05-01,162,19,31,1.631578947368421,461.5806304248515
1922-06-01,151,18,33,1.8333333333333333,430.2387357663739
1922-07-01,160,17,20,1.1764705882352942,455.8821041233101
1922-08-01,135,16,18,1.125,384.6505253540429
1922-09-01,135,12,23,1.9166666666666667,384.6505253540429
1922-10-01,173,15,38,2.533333333333333,492.92252508332905
1922-11-01,174,21,51,2.4285714285714284,495.7717882340998
1922-12-01,197,23,73,3.1739130434782608,561.3048407018256
1923-01-01,200,25,55,2.2,569.8526301541376
1923-02-01,181,24,64,2.6666666666666665,515.7166302894946
1923-03-01,185,25,62,2.48,527.1136828925773
1923-04-01,171,21,35,1.6666666666666667,487.2239987817877
1923-05-01,169,17,43,2.5294117647058822,481.5254724802463
1923-06-01,166,20,25,1.25,472.97768302793423
1923-07-01,138,20,36,1.8,393.198314806355
1923-08-01,118,18,31,1.7222222222222223,336.2130517909412
1923-09-01,136,19,89,4.684210526315789,387.49978850481364
1923-10-01,170,26,70,2.6923076923076925,484.37473563101696
1923-11-01,194,24,53,2.2083333333333335,552.7570512495136
1923-12-01,203,26,43,1.6538461538461537,578.4004196064496
