member_id,item_uri,counts
alderman,angna-enters,1
alderman,bowen-death-heart,1
alderman,delafield-three-marriages,1
alderman,dos-passos-adventures-young-man,1
alderman,ellis-impressions-comments,1
alderman,fisher-seasoned-timber,1
alderman,kennedy-midas-touch,1
alderman,keun-think-aloud-america,1
alderman,lindbergh-listen-wind,1
alderman,mcalmon-geniuses-together,1
alderman,merrild-poet-two-painters,1
alderman,monarchy,1
alderman,mowrer-journalists-wife,1
alderman,phelps-william-lyon-phelps,1
alderman,richardson-young-cosima,1
alderman,steinbeck-grapes-wrath,1
alderman,van-dine-gracie-allen-murder,1
alderman,views-reviews,1
alexandre,hobbes-leviathan,1
alvear,yeats-later-poems,1
alvear,yeats-poems,1
antoine-may,adams-queens-gate-mystery,1
antoine-may,adams-rogues-fall,1
antoine-may,adams-sloane-square-mystery,1
antoine-may,antheil-death-dark,1
antoine-may,arnim-adventures-elizabeth-rugen,1
antoine-may,arnim-caravaners,1
antoine-may,arnim-enchanted-april,2
antoine-may,arnim-expiation,1
antoine-may,arnim-jasmine-farm,1
antoine-may,arnim-pastors-wife,1
antoine-may,arnim-vera,1
antoine-may,arnold-happened-andals,1
antoine-may,asbury-crimson-rope,1
antoine-may,baum-secret-sentence,1
antoine-may,bennett-accident,1
antoine-may,birmingham-majors-candlesticks,1
antoine-may,bronte-wuthering-heights,1
antoine-may,brown-mr-pinkerton-finds,1
antoine-may,carr-judas-window,1
antoine-may,carr-wake-dead,1
antoine-may,christie-death-nile,1
antoine-may,christie-didnt-ask-evans,1
antoine-may,christie-mysterious-affair-styles,1
antoine-may,christie-mystery-blue-train,1
antoine-may,christie-partners-crime,1
antoine-may,clement-picture-dead-portrait,1
antoine-may,coffin-red-sky-morning,1
antoine-may,cole-superintendent-wilsons-holiday,1
antoine-may,connington-case-nine-solutions,2
antoine-may,connington-mystery-lynden-sands,1
antoine-may,connington-nemesis-raynham-parva,1
antoine-may,connington-tragedy-ravensthorpe,1
antoine-may,crawford-man-overboard,1
antoine-may,crofts-12-30-croydon,1
antoine-may,crofts-box-office-murders,1
antoine-may,crofts-inspector-french-cheyne,1
antoine-may,crofts-inspector-frenchs-case,1
antoine-may,crofts-loss-jane-vosper,1
antoine-may,crofts-sea-mystery-inspector,1
antoine-may,dane-babyons-chronicle-family,1
antoine-may,fletcher-double-chance,2
antoine-may,fletcher-great-brighton-mystery,2
antoine-may,fletcher-green-rope,1
antoine-may,fletcher-kang-vase,1
antoine-may,fletcher-lost-mr-linthwaite,1
antoine-may,fletcher-mill-many-windows,1
antoine-may,fletcher-murder-four-degrees,1
antoine-may,fletcher-murder-wrides-park,1
antoine-may,fletcher-sea-fog,1
antoine-may,fletcher-wild-oat,1
antoine-may,galsworthy-forsyte-change,1
antoine-may,galsworthy-maid-waiting,1
antoine-may,galsworthy-silver-spoon,1
antoine-may,galsworthy-swan-song,1
antoine-may,galsworthy-white-monkey,1
antoine-may,gilbert-death-four-corners,1
antoine-may,graeme-passion-murder-mystery,1
antoine-may,green-filigree-ball-full,1
antoine-may,green-leavenworth-case,1
antoine-may,hart-bellamy-trial,1
antoine-may,hart-double-image,1
antoine-may,kaye-smith-childrens-summer,1
antoine-may,kennedy-fool-family,1
antoine-may,kennedy-poison-parish,1
antoine-may,kennedy-return-dare,1
antoine-may,kennedy-together-apart,1
antoine-may,kitchin-death-aunt,1
antoine-may,knox-footsteps-lock,1
antoine-may,le-queux-double-shadow,1
antoine-may,lehmann-note-music,1
antoine-may,lewis-dodsworth,1
antoine-may,locke-house-balthazar,1
antoine-may,loder-death-thicket,1
antoine-may,love,1
antoine-may,lowndes-chink-armour,1
antoine-may,lowndes-cressida-mystery,1
antoine-may,lowndes-lodger,1
antoine-may,lowndes-lonely-house,2
antoine-may,mansfield-garden-party-stories,1
antoine-may,masterman-2-lo,1
antoine-may,masterman-green-toad,1
antoine-may,masterman-wrong-letter,1
antoine-may,maugham-cakes-ale-skeleton,1
antoine-may,maugham-human-bondage,1
antoine-may,maugham-painted-veil,1
antoine-may,maxwell-case-bevan-yorke,1
antoine-may,mcneile-return-bulldog-drummond,1
antoine-may,mcneile-tiny-carteret,1
antoine-may,milne-red-house-mystery,1
antoine-may,murder,1
antoine-may,murders-unclear,1
antoine-may,oflaherty-puritan,1
antoine-may,ohiggins-detective-duff-unravels,1
antoine-may,oppenheim-amazing-quest-mr,1
antoine-may,oppenheim-million-pound-deposit,1
antoine-may,packard-red-ledger,1
antoine-may,palmer-norwich-victims,1
antoine-may,priestley-angel-pavement,1
antoine-may,reilly-dead-man-control,1
antoine-may,richards-hasty-marriage,1
antoine-may,rinehart-two-flights,1
antoine-may,sayers-busmans-honeymoon,1
antoine-may,sayers-carcase,2
antoine-may,sayers-clouds-witness,1
antoine-may,sayers-documents-case,1
antoine-may,sayers-gaudy-night,1
antoine-may,sayers-lord-peter-views,1
antoine-may,sayers-strong-poison,1
antoine-may,sayers-unpleasantness-bellona-club,2
antoine-may,somervile-big-house-inver,1
antoine-may,stern-shortest-night,1
antoine-may,thackeray-wolves-lamb,1
antoine-may,thurston-man-black-hat,1
antoine-may,trask-dead-men-tell,1
antoine-may,van-dine-benson-murder-case,1
antoine-may,van-dine-bishop-murder-case,1
antoine-may,van-dine-canary-murder-case,1
antoine-may,van-dine-greene-murder-case,1
antoine-may,van-dine-scarab-murder-case,1
antoine-may,vorse-second-cabin,1
antoine-may,williams-death-answers-bell,1
antoine-may,williams-dreadful-night,1
antoine-may,williamson-annals-crime-extraordinary,1
aragon,joyce-exiles,1
aragon,joyce-portrait-artist-young,1
arvanon,anderson-kit-brandon-portrait,1
arvanon,anderson-many-marriages,1
arvanon,anderson-marching-men,1
arvanon,anderson-poor-white,1
arvanon,anderson-story-tellers-story,2
arvanon,anderson-triumph-egg,1
arvanon,baudelaire-flowers-evil,1
arvanon,beach-twentieth-century-novel,1
arvanon,benet-john-browns-body,1
arvanon,big-money,1
arvanon,boyle-first-lover-stories,1
arvanon,browne-vulgar-errors-pseudodoxia,1
arvanon,burt-side,1
arvanon,calmer-proletarian-literature-united,1
arvanon,cather-song-lark,1
arvanon,crane-maggie-girl-streets,1
arvanon,cummings-tulips-chimneys,1
arvanon,day-lewis-friendly-tree,1
arvanon,de-quincey-reminiscences-english-lake,2
arvanon,dickinson-poems-emily-dickinson,1
arvanon,dos-passos-42nd-parallel,1
arvanon,dos-passos-three-plays,1
arvanon,dos-passos-three-soldiers,1
arvanon,dreiser-free-stories,1
arvanon,dreiser-twelve-men,1
arvanon,early-life-thomas,1
arvanon,eliot-family-reunion,1
arvanon,eliot-murder-cathedral,1
arvanon,empson-seven-types-ambiguity,1
arvanon,farrell-studs-lonigan,1
arvanon,fausset-samuel-taylor-coleridge,2
arvanon,forster-howards-end,1
arvanon,hanley-secret-journey,1
arvanon,hart-crane,1
arvanon,hertz-hidden-lincoln,1
arvanon,isherwood-mr-norris-changes,1
arvanon,lehmann-dusty-answer,1
arvanon,lehmann-note-music,1
arvanon,lehmann-weather-streets,1
arvanon,lewis-prodigal-parents,1
arvanon,lindsay-collected-poems,1
arvanon,macleish-poems-1924-1933,1
arvanon,mann-magic-mountain,1
arvanon,melville-moby-dick-whale,1
arvanon,moore-selected-poems-marianne,1
arvanon,moore-selected-poems-thomas,1
arvanon,mumford-culture-cities,1
arvanon,new-testament,1
arvanon,pattee-new-american-literature,1
arvanon,pound-selected-poems,1
arvanon,sackville-west-passion-spent,1
arvanon,sandburg-selected-poems-carl,1
arvanon,sitwell-collected-poems-edith,1
arvanon,spender-poems,1
arvanon,stevens-man-blue-guitar,1
arvanon,wilde-english-renaissance-lecture,1
arvanon,wilder-heavens-destination,1
arvanon,williams-white-mule,1
arvanon,wylie-collected-poems-elinor,1
auger,bronte-villette,1
auger,cather-antonia,1
auger,cather-youth-bright-medusa,1
auger,garnett-lady-fox,1
auger,garnett-love,1
auger,garnett-man-zoo,1
auger,hemingway-to-have-and,1
auger,john-donne,1
auger,louis-bromfield-rains-came,1
auger,mitchell-gone-wind,1
auger,wilder-heavens-destination,1
baker-3,addison-spectator,1
baker-3,auden-dog-beneath-skin,1
baker-3,bagnold-squire,1
baker-3,boswell-life-samuel-johnson,1
baker-3,bottome-murder-bud,1
baker-3,bowen-death-heart,1
baker-3,bowen-faber-book-modern,1
baker-3,buck-patriot,1
baker-3,bunyan-pilgrims-progress,1
baker-3,burney-story-fanny-burney,1
baker-3,calder-marshall-dead-centre,1
baker-3,canby-house,1
baker-3,carlyle-past-present,1
baker-3,christian-symbols,1
baker-3,connolly-enemies-promise,1
baker-3,coomaraswamy-buddha-gospel-buddhism,1
baker-3,dos-passos-adventures-young-man,1
baker-3,dostoyevsky-crime-punishment,1
baker-3,fisher-seasoned-timber,1
baker-3,frankau-three-englishmen-romance,1
baker-3,geyde-fallen-bastions,1
baker-3,hamsa-holy-mountain,1
baker-3,hudson-purple-land,1
baker-3,huxley-barren-leaves,1
baker-3,huxley-brief-candles-stories,1
baker-3,huxley-limbo,1
baker-3,isherwood-goodbye-berlin,1
baker-3,isherwood-lions-shadows-education,1
baker-3,isherwood-mr-norris-changes,1
baker-3,joyce-exiles,1
baker-3,joyce-portrait-artist-young,1
baker-3,kaye-smith-valiant-woman,1
baker-3,lamb-works-charles-lamb,1
baker-3,lawrence-letters-e-lawrence,1
baker-3,lehmann-new-writing,1
baker-3,lewis-men-without-art,1
baker-3,life-oscar-wilde,1
baker-3,lin-country-people,1
baker-3,lockhart-guns-butter,1
baker-3,mann-coming-victory-democracy,1
baker-3,mann-escape-life,1
baker-3,mansfield-novels-novelists,1
baker-3,marquand-wickford-point,1
baker-3,maugham-christmas-holiday,1
baker-3,maugham-painted-veil,1
baker-3,maugham-theatre,1
baker-3,menninger-man,1
baker-3,nathan-winter-april,1
baker-3,phelps-william-lyon-phelps,1
baker-3,porter-pale-horse-pale,1
baker-3,potter-christopher-columbus-story,1
baker-3,purohit-indian-monk-life,1
baker-3,read-art-now-introduction,1
baker-3,richardson-young-cosima,1
baker-3,rilke-stories-god,1
baker-3,roberts-black-true-loves,1
baker-3,sharp-harlequin-house,1
baker-3,spender-still-centre,1
baker-3,spender-trial-judge-tragedy,1
baker-3,spring-my-son-my,1
baker-3,stead-house-nations,1
baker-3,steinbeck-grapes-wrath,1
baker-3,steinbeck-long-valley,1
baker-3,stephens-crock-gold,1
baker-3,stern-shortest-night,1
baker-3,stern-woman-hall,1
baker-3,strachey-eminent-victorians,1
baker-3,tate-fathers,1
baker-3,tolstoy-war-peace,1
baker-3,van-doren-first-affections,1
baker-3,waln-reaching-stars,1
baker-3,walpole-joyful-delaneys-novel,1
baker-3,wells-apropos-dolores,1
baker-3,wheatley-century-spy-stories,1
baker-3,young-dr-bradley-remembers,1
baker-3,young-looking-behind-censorships,1
baldwin-helen-green,baedeker-paris-environs-routes,1
baldwin-helen-green,benson-queen-victoria,1
baldwin-helen-green,brown-mr-pinkerton-grows,1
baldwin-helen-green,buchan-house-four-winds,1
baldwin-helen-green,freeman-joseph-brethren,1
baldwin-helen-green,gay-life,1
baldwin-helen-green,kennedy-poison-parish,1
baldwin-helen-green,sayers-great-short-stories,1
baltrusaitis-helene-focillon,braine-vodi,1
baltrusaitis-helene-focillon,fitzgerald-short-stories-f,1
baltrusaitis-helene-focillon,kelly-pogo-party,1
baltrusaitis-helene-focillon,osborne-look-back-anger,1
baltrusaitis-helene-focillon,pennell-art-whistler,1
baltrusaitis-helene-focillon,sillitoe-saturday-night-sunday,1
bazin-de-jessey,adams-knife,1
bazin-de-jessey,aldington-seven-reeves-comedy,1
bazin-de-jessey,allen-anthony-adverse,1
bazin-de-jessey,anderson-thieves-like-us,1
bazin-de-jessey,atwood-days,2
bazin-de-jessey,baker-young-man-horn,1
bazin-de-jessey,boyle-crazy-hunter-three,1
bazin-de-jessey,boyle-death-man,1
bazin-de-jessey,boyle-gentlemen-address-privately,1
bazin-de-jessey,boyle-next-bride,1
bazin-de-jessey,boyle-white-horses-vienna,1
bazin-de-jessey,brinig-sisters,1
bazin-de-jessey,buck-gods-american-legend,1
bazin-de-jessey,buck-patriot,1
bazin-de-jessey,calder-marshall-dead-centre,1
bazin-de-jessey,calder-marshall-pie-sky,1
bazin-de-jessey,caldwell-southways-stories,1
bazin-de-jessey,caldwell-trouble-july,1
bazin-de-jessey,charters-must-place-memoirs,1
bazin-de-jessey,de-kruif-fight-life,1
bazin-de-jessey,dos-passos-countries,1
bazin-de-jessey,dos-passos-journeys-wars,1
bazin-de-jessey,du-maurier-rebecca,1
bazin-de-jessey,duffus-lillian-wald-neighborhood,1
bazin-de-jessey,duranty-one-life-one,1
bazin-de-jessey,evans-wentz-tibets-great-yogi,1
bazin-de-jessey,farrell-fellow-countrymen-collected,1
bazin-de-jessey,farrell-young-manhood-studs,1
bazin-de-jessey,farson-story-lake,1
bazin-de-jessey,farson-way-transgressor,1
bazin-de-jessey,faulkner-lay-dying,1
bazin-de-jessey,faulkner-light-august,1
bazin-de-jessey,faulkner-soldiers-pay,1
bazin-de-jessey,faulkner-unvanquished,1
bazin-de-jessey,faulkner-wild-palms,1
bazin-de-jessey,fernee-now-gentlemen-please,1
bazin-de-jessey,gilligan-boundary-night,2
bazin-de-jessey,gorman-james-joyce-first,1
bazin-de-jessey,green-party-going,1
bazin-de-jessey,greene-power-glory,1
bazin-de-jessey,hemingway-death-afternoon,1
bazin-de-jessey,hemingway-fifth-column-first,2
bazin-de-jessey,hemingway-green-hills-africa,1
bazin-de-jessey,hemingway-men-without-women,1
bazin-de-jessey,heppenstall-blaze-noon,1
bazin-de-jessey,huxley-ends-means-enquiry,1
bazin-de-jessey,huxley-will-essays,1
bazin-de-jessey,joyce-ulysses,2
bazin-de-jessey,kennedy-midas-touch,2
bazin-de-jessey,laughlin-new-directions-poetry,1
bazin-de-jessey,lawrence-seven-pillars-wisdom,1
bazin-de-jessey,lin-country-people,1
bazin-de-jessey,louis-bromfield-rains-came,1
bazin-de-jessey,marlowe-coming-sir-autobiography,1
bazin-de-jessey,maugham-christmas-holiday,1
bazin-de-jessey,maugham-human-bondage,1
bazin-de-jessey,mckenney-sister-eileen,1
bazin-de-jessey,mendes-pitch-lake-story,1
bazin-de-jessey,morgan-flashing-stream-play,1
bazin-de-jessey,nathan-portrait-jennie,1
bazin-de-jessey,obrien-best-short-stories,1
bazin-de-jessey,obrien-best-short-stories-1938-english,1
bazin-de-jessey,obrien-swim-two-birds,1
bazin-de-jessey,odonnell-adrigoole,1
bazin-de-jessey,ofaolain-constance-markievicz-average,1
bazin-de-jessey,orwell-burmese-days,1
bazin-de-jessey,orwell-coming-air,1
bazin-de-jessey,orwell-keep-aspidistra-flying,1
bazin-de-jessey,prokosch-night-poor,1
bazin-de-jessey,rice-imperial-city,2
bazin-de-jessey,roberts-northwest-passage,1
bazin-de-jessey,sadleir-blessington-dorsay,1
bazin-de-jessey,sadleir-foolish-things,1
bazin-de-jessey,saroyan-daring-young-man,1
bazin-de-jessey,saroyan-gay-melancholy-flux,1
bazin-de-jessey,saroyan-little-children,1
bazin-de-jessey,sarton-single-hound,1
bazin-de-jessey,schonfield-letters-frederick-tennyson,1
bazin-de-jessey,shakespeare-hamlet,1
bazin-de-jessey,sitwell-trio-dissertations-aspects,1
bazin-de-jessey,snow-living-china-modern,1
bazin-de-jessey,speaight-unbroken-heart,1
bazin-de-jessey,spender-backward,1
bazin-de-jessey,spender-burning-cactus,1
bazin-de-jessey,spender-destructive-element-study,1
bazin-de-jessey,starkie-arthur-rimbaud,1
bazin-de-jessey,stead-salzburg-tales,1
bazin-de-jessey,stead-seven-poor-men,1
bazin-de-jessey,steinbeck-long-valley,1
bazin-de-jessey,stephens-crock-gold,1
bazin-de-jessey,swift-jungle-mind,1
bazin-de-jessey,thurber-let-mind-alone,1
bazin-de-jessey,van-doren-benjamin-franklin,1
bazin-de-jessey,williams-white-mule,1
bazin-de-jessey,woolf-three-guineas,1
bazin-de-jessey,wright-native,1
bazin-de-jessey,young-seek-country,1
beach-sylvia,butler-vie-habitude,1
beach-sylvia,coleridge-chanson-vieux-marin,1
beach-sylvia,lamartine-jean-jacques-rousseau,1
beach-sylvia,landor-hautes-basses-classes,1
beach-sylvia,larbaud-lettres-andre-gide,1
beach-sylvia,maeterlinck-mort,1
beach-sylvia,poe-criticisms,1
beach-sylvia,tavernier-confluences,2
beach-sylvia,vaucaire-toussaint-louverture,1
beaulieu,bronte-wuthering-heights,1
beaulieu,waugh-black-mischief,1
beauvoir-simone-de,aldington-death-hero,1
beauvoir-simone-de,big-money,1
beauvoir-simone-de,bowen-death-heart,1
beauvoir-simone-de,bowen-house-paris,1
beauvoir-simone-de,boyle-plagued-nightingale,1
beauvoir-simone-de,caldwell-journeyman,1
beauvoir-simone-de,dos-passos-adventures-young-man,1
beauvoir-simone-de,faulkner-absalom-absalom,1
