sco_id,sco_title,title,sco_author,author,sco_date,date,id,subject,title_exact_match,author_exact_match,sco_title_clean,sco_title_nosub,title_nosub_exact_match,title_dist,keep,notes
https://shakespeareandco.princeton.edu/books/arlen-may-fair/,May Fair,"May Fair: being an entertainment purporting to reveal to gentlefolk the real state of affairs existing in the very heart of London during the fifteenth and sixteenth years of the reign of His Majesty King George the Fifth: together with suitable reflections on the last follies, misadventures and galanteries of these charming people,","Arlen, Michael","arlen, michael",1925,1925,http://lccn.loc.gov/25010419,fiction;great britain;george v;london (england);history,FALSE,TRUE,May Fair,May Fair,FALSE,326,1,
https://shakespeareandco.princeton.edu/books/browne-vulgar-errors-pseudodoxia/,Vulgar Errors (Pseudodoxia Epidemica),"The works of the learned Sr Thomas Brown, Kt., Doctor of Physick, late of Norwich. Containing I. Enquiries into vulgar and common errors. II. Religio medici: with annotations and observations upon it. III. Hydriotaphia; or, Vrn-Burial: Together with The Garden of Cyrus. IV. Certain miscellany tracts. With alphabetical tables.","Browne, Thomas","browne, thomas",1686,1686,http://lccn.loc.gov/20007180,"physicians;gardening;urn burial;english prose literature;christian ethics;early modern;antiquities;cyrus;early works to 1800;religious life;530 c. or 529 c;the great, king of persia;norfolk (england)",FALSE,TRUE,Vulgar Errors ,Vulgar Errors (Pseudodoxia Epidemica),FALSE,313,1,
https://shakespeareandco.princeton.edu/books/bryce-american-commonwealth/,The American Commonwealth,"The proposal to add six additional justices to the Supreme Court of the United States : In his American Commonwealth James Bryce foresaw the very situation with which the county is now confronted and commented thereon. In Bryce's American Commonwealth, Chapter XXIV- ""The working of the courts.""","Bryce, James","printed ephemera collection (library of congress);bryce, james",1937,1937,http://lccn.loc.gov/2020782636,,FALSE,FALSE,The American Commonwealth,The American Commonwealth,FALSE,270,1,
https://shakespeareandco.princeton.edu/books/ocasey-flying-wasp/,The Flying Wasp,"The flying wasp; a laughing look-over of what has been said about the things of the theatre by the English dramatic critics, with many merry and amusing comments thereon, with some shrewd remarks by the author on the wise, delicious, and dignified tendencies in the theatre of to-day.","O'Casey, Sean","o'casey, sean",1971,1971,http://lccn.loc.gov/70173866,theater;english drama;20th century;history and criticism;great britain;dramatic criticism,FALSE,TRUE,The Flying Wasp,The Flying Wasp,FALSE,269,1,
https://shakespeareandco.princeton.edu/books/smith-complete-history-lives/,Complete History of the Lives and Robberies of the Most Notorious Highwaymen,"A complete history of the lives and robberies of the most notorious highwaymen, footpads, shoplifts, & cheats of both sexes, wherein their most secret and barbarous murders, unparalleled robberies, notorious thefts, and unheard-of cheats are set in a true light and exposed to public view, for the common benefit of mankind,","Smith, Alexander","smith, alexander",1926,1926,http://lccn.loc.gov/27013632,great britain;thieves;crime and criminals;brigands and robbers,FALSE,TRUE,Complete History of the Lives and Robberies of the Most Notorious Highwaymen,Complete History of the Lives and Robberies of the Most Notorious Highwaymen,FALSE,248,1,
https://shakespeareandco.princeton.edu/books/waite-occult-sciences/,The Occult Sciences,"The occult sciences : a compendium of transcendental doctrine and experiment, embracing an account of magical practices, of secret sciences in connection with magic, of the professors of magical arts, and of modern spiritualism, mesmerism, and theosophy","Waite, A. E.","harry houdini collection (library of congress);waite, arthur edward",1923,1923,http://lccn.loc.gov/24008272,occultism;magic,FALSE,FALSE,The Occult Sciences,The Occult Sciences,FALSE,234,1,
https://shakespeareandco.princeton.edu/books/aelfric-of-eynsham-selected-homilies-aelfric/,Selected Homilies of Aelfric,"Select monuments of the doctrine and worship of the Catholic Church in England before the Norman Conquest, consisting of Ælfric's Paschal homily and extracts from his epistles, &c., the offices of the canonical hours, and three metrical prayers or hymns.",Ælfric of Eynsham,"thomson, ebenezer",1849,1849,http://lccn.loc.gov/49034980,"texts;english language;sources;great britain;old english, ca. 450;church history",FALSE,FALSE,Selected Homilies of Aelfric,Selected Homilies of Aelfric,FALSE,228,1,not exact
https://shakespeareandco.princeton.edu/books/gold-unclear/,The Gold of [unclear],"Original Unpublished Collection of Maps Relating to the Episcopate of Peru; Portraits of Archbishops, Viceroys, and Other Characters of Peru in Color and Gold; City Plans; Tables on Indigenous Languages: The Codex Trujillo del Perú. Volume I.",,"martínez compañon y bujanda, baltazar jaime",1782,1782,http://www.loc.gov/item/2021667799/,missionaries;missions;codex;cities and towns;1782 to 1789;priests;monks;nuns;codex trujillo del perú;peru;government officials;churches;architectural drawings;catholic church;manuscript maps,FALSE,FALSE,The Gold of [unclear],The Gold of [unclear],FALSE,225,0,
https://shakespeareandco.princeton.edu/books/williamson-gold-falcon-haggard/,The Gold Falcon or the Haggard of Love,"The gold falcon, or, The haggard of love : being the adventures of Manfred, airman and poet of the World War, and later husband and father, in search of freedom and personal sunrise in the city of New York and of the consummation of his life.","Williamson, Henry","williamson, henry",1933,1933,http://lccn.loc.gov/33023510,domestic fiction;adventure stories,FALSE,TRUE,The Gold Falcon or the Haggard of Love,The Gold Falcon or the Haggard of Love,FALSE,204,1,
https://shakespeareandco.princeton.edu/books/vaughan-fathers-house/,Her Father's House,"Her father's house; here is Eleanor, daughter of Gethin Tretower, gentleman of The Hafod, in the county of Radnor; wife of Evan Harris; shepherdess, maidservant, exile, and wayfarer.  She loved her father's house.","Vaughan, Hilda","vaughan, hilda",1930,1930,http://lccn.loc.gov/30013094,,FALSE,TRUE,Her Father's House,Her Father's House,FALSE,195,1,
