sco_id,term,type,source
https://shakespeareandco.princeton.edu/books/malory-morte-darthur/,Arthurian romances,subject,loc
https://shakespeareandco.princeton.edu/books/more-utopia/,Early works to 1800,genre,loc
https://shakespeareandco.princeton.edu/books/more-utopia/,Utopias,subject,loc
https://shakespeareandco.princeton.edu/books/norton-gorboduc/,Tragedies.,genre,loc
https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/,Fiction,genre,loc
https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/,Triangles (Interpersonal relations),subject,loc
https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/,Male friendship,subject,loc
https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/,Poetry,genre,loc
https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/,Knights and knighthood,subject,loc
https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/,Virtues,subject,loc
https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/,Early works to 1800,genre,loc
https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/,Social life and customs,subject,loc
https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/,Crime,subject,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,drama,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,Drama,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,bibliography,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,Man-woman relationships,subject,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,Fairy plays,subject,loc
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,Courtship,subject,loc
https://shakespeareandco.princeton.edu/books/sidney-apology-poetry/,bibliography,genre,loc
https://shakespeareandco.princeton.edu/books/sidney-apology-poetry/,Poetry,subject,loc
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Drama,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Comedies.,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,bibliography,genre,loc
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Princesses,subject,loc
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Courts and courtiers,subject,loc
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,Early works to 1800,genre,loc
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,"Knowledge, Theory of",subject,loc
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,Logic,subject,loc
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,Science,subject,loc
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,Learning,subject,loc
https://shakespeareandco.princeton.edu/books/webster-white-devil/,text,genre,loc
https://shakespeareandco.princeton.edu/books/webster-white-devil/,Drama,genre,loc
https://shakespeareandco.princeton.edu/books/webster-white-devil/,bibliography,genre,loc
https://shakespeareandco.princeton.edu/books/webster-white-devil/,Revenge,subject,loc
https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/,Early works to 1800,genre,loc
https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/,Melancholy,subject,loc
https://shakespeareandco.princeton.edu/books/descartes-geometrie/,"Geometry, Analytic",subject,loc
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Early works to 1800,genre,loc
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Christian ethics,subject,loc
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Religion,subject,loc
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Christian life,subject,loc
https://shakespeareandco.princeton.edu/books/browne-vulgar-errors-pseudodoxia/,Early works to 1800,genre,loc
